node,ms-uri,node-structure,msItem-id,structure-id,xpath
"<bibl >Add. 14,647, no. 18</bibl>",http://syriaca.org/manuscript/647,<bibl >CDATA</bibl>,p4a15,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/msContents/msItem[15]/note/bibl[1]
"<bibl >See Add. 12,173, no. 1</bibl>",http://syriaca.org/manuscript/414,<bibl >CDATA</bibl>,a1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/note[1]/bibl
"<bibl >Add. 12,137, foll. 212, 213<ptr target='http://syriaca.org/manuscript/1164'></ptr></bibl>",http://syriaca.org/manuscript/13,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/physDesc/p/bibl[1]
"<bibl >Add. 12,137, foll. 212, 213<ptr target='http://syriaca.org/manuscript/1164'></ptr></bibl>",http://syriaca.org/manuscript/13,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/additional/adminInfo/note/bibl
"<bibl >Add. 12,137, foll. 187—207<ptr target='http://syriaca.org/manuscript/1163'></ptr></bibl>",http://syriaca.org/manuscript/13,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/physDesc/p/bibl[1]
"<bibl >Add. 12,137, foll. 187—207<ptr target='http://syriaca.org/manuscript/1163'></ptr></bibl>",http://syriaca.org/manuscript/13,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/additional/adminInfo/note/bibl
"<bibl >Add. 12,167<ptr target='http://syriaca.org/manuscript/49'></ptr>, no.<citedRange unit=''>xv</citedRange></bibl>",http://syriaca.org/manuscript/629,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,p1a4,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[4]/note/bibl
"<bibl >Add. 17,163<ptr target='http://syriaca.org/manuscript/809'></ptr>,<citedRange unit='locus'>fol. 35 a</citedRange></bibl>",http://syriaca.org/manuscript/629,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,p2_1a1,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msPart[1]/msContents/msItem/note[1]/bibl[2]
"<bibl >Add. 14,575<ptr target='http://syriaca.org/manuscript/311'></ptr>, no.<citedRange unit=''>1</citedRange></bibl>",http://syriaca.org/manuscript/629,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,p3b1,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem[1]/msItem[1]/note/bibl
"<bibl >Add. 14,575<ptr target='http://syriaca.org/manuscript/311'></ptr>, no.<citedRange unit=''>3</citedRange></bibl>",http://syriaca.org/manuscript/629,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,p3b2,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem[1]/msItem[2]/note/bibl
"<bibl >Add. 14,575<ptr target='http://syriaca.org/manuscript/311'></ptr>, no.<citedRange unit=''>4</citedRange></bibl>",http://syriaca.org/manuscript/629,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,p3b3,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem[1]/msItem[3]/note/bibl
"<bibl >Add. 14,575<ptr target='http://syriaca.org/manuscript/311'></ptr>, no.<citedRange unit=''>5</citedRange></bibl>",http://syriaca.org/manuscript/629,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,p3b4,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem[1]/msItem[4]/note/bibl
"<bibl >Add. 14,728<ptr target='http://syriaca.org/manuscript/625'></ptr>, fol.<citedRange unit='locus'>76 b</citedRange></bibl>",http://syriaca.org/manuscript/629,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,p3a2,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem[2]/note[1]/bibl
"<bibl >Add. 12,163<ptr target='http://syriaca.org/manuscript/1225'></ptr>, fol.<citedRange unit='locus'>290 b</citedRange></bibl>",http://syriaca.org/manuscript/629,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,p3b5,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem[3]/msItem[1]/note/bibl[2]
"<bibl >Add.
                    12,163<ptr target='http://syriaca.org/manuscript/1225'></ptr>, fol.<citedRange unit='locus'>291 b</citedRange></bibl>",http://syriaca.org/manuscript/629,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,p3b6,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem[3]/msItem[2]/note/bibl[2]
"<bibl >Add. 12,163<ptr target='http://syriaca.org/manuscript/1225'></ptr>, fol.<citedRange unit='locus'>262 a</citedRange></bibl>",http://syriaca.org/manuscript/629,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,p3b10,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem[3]/msItem[6]/note/bibl[2]
"<bibl >Add. 12,163<ptr target='http://syriaca.org/manuscript/1225'></ptr>, fol.<citedRange unit='locus'>240 b</citedRange></bibl>",http://syriaca.org/manuscript/629,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,p3b16,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem[3]/msItem[12]/note/bibl
